EDAD;GENERO;INGRESOS_MES;DISTANCIA_RECORRIDA;NINOS_HOGAR;VEHICULO;GUSTO_CONDUCIR;GUSTO_MUSICA;SUBSCRIPTOR_CLARO_MUSICA
37;HOMBRE;1711103;0;3;0;1;5;NO
32;MUJER;1409543;0;1;0;2;3;NO
34;MUJER;1491495;0;1;0;1;5;NO
34;MUJER;1449025;0;3;0;1;6;NO
31;MUJER;1401897;0;2;0;3;4;NO
42;MUJER;1576380;0;0;0;2;3;NO
29;MUJER;1193248;0;0;0;3;4;NO
32;HOMBRE;1032527;0;0;0;3;4;NO
36;HOMBRE;1373820;0;4;0;1;5;NO
33;HOMBRE;1470439;0;2;0;1;5;NO
37;HOMBRE;1326854;0;1;0;3;3;NO
37;HOMBRE;1773344;0;1;0;1;5;NO
34;HOMBRE;1011229;0;2;0;2;6;NO
40;MUJER;1734538;0;2;0;3;4;NO
36;HOMBRE;1208317;0;1;0;1;4;NO
36;MUJER;674930;0;3;0;2;5;NO
43;HOMBRE;1128906;0;3;0;2;5;NO
32;HOMBRE;1847667;0;4;0;1;4;NO
35;HOMBRE;1335911;0;1;0;3;4;NO
39;HOMBRE;1337352;0;3;0;3;4;NO
36;HOMBRE;717470;0;3;0;2;3;NO
40;HOMBRE;1257921;0;0;0;1;4;NO
34;HOMBRE;1319242;0;3;0;3;5;NO
36;MUJER;1202264;0;3;0;2;4;NO
39;HOMBRE;1658357;0;2;0;3;5;NO
39;HOMBRE;1929777;0;2;0;3;6;NO
34;MUJER;1723475;0;3;0;2;5;NO
30;MUJER;861291;0;3;0;3;4;NO
30;MUJER;1243871;0;4;0;3;6;NO
47;HOMBRE;1721475;0;1;0;1;3;NO
36;HOMBRE;972931;0;3;0;2;5;NO
38;HOMBRE;1561081;0;0;0;2;4;NO
41;HOMBRE;1804022;0;2;0;2;5;NO
36;MUJER;1964216;0;1;0;2;4;NO
41;HOMBRE;1297769;0;2;0;2;4;NO
40;HOMBRE;1401043;0;0;0;3;3;NO
32;HOMBRE;1338847;0;0;0;3;2;NO
43;HOMBRE;800904;0;2;0;3;4;NO
34;MUJER;1802698;0;2;0;3;3;NO
39;MUJER;1519654;0;1;0;3;3;NO
38;HOMBRE;1278986;0;3;0;2;4;NO
33;MUJER;981073;0;4;0;2;5;NO
34;HOMBRE;1489037;0;3;0;2;3;NO
30;HOMBRE;996177;0;1;0;2;4;NO
31;MUJER;1481037;0;1;0;2;4;NO
29;HOMBRE;1506432;0;5;0;2;5;NO
21;HOMBRE;788111;3267;0;0;4;4;NO
24;MUJER;943193;2594;0;1;6;5;NO
29;HOMBRE;738783;2468;0;1;6;5;NO
29;HOMBRE;768565;2833;0;1;6;5;NO
27;HOMBRE;303656;3071;0;1;5;5;NO
27;HOMBRE;712107;3138;0;0;5;4;NO
24;HOMBRE;784533;3344;0;1;6;4;NO
25;HOMBRE;531489;3008;0;1;6;5;NO
27;MUJER;1067723;3064;0;1;6;6;NO
25;HOMBRE;702464;3098;0;1;6;4;NO
25;MUJER;800868;2569;0;1;5;5;NO
29;MUJER;471734;3189;0;1;5;4;NO
25;HOMBRE;1076432;3468;0;1;6;5;NO
26;HOMBRE;961505;3422;0;0;6;5;NO
26;MUJER;810476;2765;0;1;6;6;NO
23;HOMBRE;977349;2934;0;1;5;4;NO
27;MUJER;742193;3005;0;1;7;4;NO
23;HOMBRE;953356;3457;0;1;6;6;SI
25;HOMBRE;618467;3653;0;1;3;6;NO
30;HOMBRE;578988;2655;0;1;5;4;NO
25;MUJER;635583;3486;0;1;5;5;SI
26;HOMBRE;792631;3100;0;0;4;4;SI
26;HOMBRE;373577;3139;0;1;5;5;NO
28;HOMBRE;1074141;3431;0;1;6;4;SI
26;HOMBRE;860623;3189;0;1;5;5;NO
27;MUJER;685791;3048;0;1;6;5;NO
28;HOMBRE;844091;3060;0;0;6;4;NO
27;HOMBRE;1068393;2152;0;0;7;6;NO
30;HOMBRE;802751;3017;0;1;6;5;NO
26;HOMBRE;566545;2841;0;1;6;5;NO
24;MUJER;819866;3199;0;1;6;5;NO
23;HOMBRE;691703;3031;0;0;6;5;NO
27;HOMBRE;1179611;2372;0;1;5;6;NO
20;HOMBRE;1007229;3408;0;1;5;5;NO
29;HOMBRE;816154;3948;0;0;6;5;NO
22;HOMBRE;897964;2986;0;1;6;5;NO
29;HOMBRE;762971;3119;0;1;5;6;NO
24;HOMBRE;979457;3021;0;1;6;5;NO
26;HOMBRE;1043744;2361;0;1;6;5;SI
26;HOMBRE;572181;3136;0;1;5;4;SI
26;MUJER;811098;3598;0;1;5;4;NO
26;HOMBRE;926289;3174;0;0;6;5;SI
27;MUJER;414941;2504;0;1;6;6;NO
27;HOMBRE;598163;2532;0;1;6;6;SI
28;HOMBRE;543257;3085;0;1;5;5;NO
23;MUJER;813694;3230;0;1;5;4;NO
29;MUJER;626693;3096;0;1;5;5;NO
27;MUJER;1188248;3143;0;0;7;5;NO
27;MUJER;1001071;2892;0;1;5;5;SI
27;MUJER;681262;3317;0;1;5;5;NO
23;HOMBRE;667175;3466;0;0;5;5;NO
27;HOMBRE;843745;3466;0;1;5;4;NO
26;MUJER;982453;3379;0;0;7;4;NO
24;HOMBRE;902859;3000;0;1;5;6;NO
27;MUJER;975099;3068;0;1;6;5;NO
26;HOMBRE;919528;2946;0;1;5;5;NO
28;MUJER;681013;2874;0;1;6;5;NO
28;MUJER;834624;2964;0;1;5;4;NO
25;HOMBRE;628479;3304;0;1;6;6;NO
25;MUJER;1163142;3139;0;1;6;6;SI
28;HOMBRE;1019564;2827;0;1;7;4;NO
27;HOMBRE;851150;3690;0;1;5;6;NO
28;MUJER;683508;3049;0;1;6;4;SI
28;HOMBRE;858525;3345;0;1;5;4;SI
28;HOMBRE;575492;3193;0;1;5;5;NO
29;MUJER;621069;2713;0;1;6;5;NO
29;MUJER;489556;3155;0;0;4;5;NO
26;HOMBRE;675114;3299;0;1;6;5;NO
25;HOMBRE;413484;3139;0;1;5;5;SI
26;HOMBRE;809789;3545;0;1;4;5;NO
23;HOMBRE;871735;2756;0;1;6;5;NO
25;HOMBRE;940989;2887;0;1;5;6;NO
21;HOMBRE;428128;3318;0;1;5;5;NO
26;MUJER;537926;2757;0;1;6;5;NO
24;MUJER;719632;2716;0;1;5;5;NO
27;MUJER;1053964;3026;0;1;6;5;NO
27;HOMBRE;813655;3331;0;1;7;5;NO
25;MUJER;682287;4006;0;1;5;5;NO
23;HOMBRE;520358;2608;0;1;4;5;NO
28;HOMBRE;1059964;2905;0;1;6;6;NO
29;HOMBRE;944664;2201;0;1;4;5;NO
22;MUJER;771814;3104;0;1;5;7;NO
28;HOMBRE;1066586;2814;0;1;6;5;NO
29;MUJER;376243;2483;0;1;6;5;SI
29;MUJER;891319;2975;0;1;6;4;NO
29;MUJER;940298;2710;0;0;6;4;NO
26;HOMBRE;658006;3150;0;0;6;6;NO
26;HOMBRE;836001;3218;0;1;5;4;NO
27;MUJER;956143;3187;0;1;6;5;NO
27;HOMBRE;497030;3518;0;1;6;6;NO
28;MUJER;814968;2957;0;1;6;4;SI
23;MUJER;982916;3554;0;1;6;3;SI
27;HOMBRE;747053;3087;0;1;6;6;NO
24;HOMBRE;835980;3413;0;0;6;5;NO
22;HOMBRE;892536;2955;0;0;6;5;NO
28;HOMBRE;571014;3469;0;1;6;4;NO
26;MUJER;643705;2776;0;0;6;5;NO
24;HOMBRE;645367;3121;0;1;5;4;NO
24;HOMBRE;558056;2663;0;1;6;6;NO
28;HOMBRE;944951;3049;0;1;6;6;NO
25;HOMBRE;1090710;2668;0;1;7;5;NO
23;HOMBRE;635037;2531;0;1;6;5;SI
24;HOMBRE;637208;2985;0;1;7;5;NO
29;HOMBRE;1159292;3316;0;0;6;4;NO
28;HOMBRE;1055322;3517;0;1;6;5;NO
26;HOMBRE;636957;3168;0;0;7;5;NO
26;MUJER;980572;3182;0;1;4;5;NO
25;HOMBRE;822370;2712;0;1;7;4;NO
28;MUJER;1151279;2998;0;1;6;5;NO
24;HOMBRE;618535;2618;0;1;7;5;SI
27;HOMBRE;373889;3746;0;1;6;4;NO
25;HOMBRE;1086016;3102;0;1;7;5;NO
29;HOMBRE;930694;2786;0;1;6;6;NO
27;HOMBRE;574393;3497;0;0;5;6;SI
28;HOMBRE;946097;3006;0;1;5;4;NO
27;HOMBRE;800928;2652;0;1;6;4;NO
26;HOMBRE;1200638;3148;0;1;6;5;NO
27;HOMBRE;1141039;2860;0;0;5;5;NO
22;MUJER;592467;3512;0;1;6;4;NO
24;HOMBRE;908674;3012;0;0;6;6;NO
28;HOMBRE;699978;2886;0;1;5;5;NO
25;HOMBRE;587220;2431;0;1;5;4;NO
26;MUJER;831969;2951;0;1;5;4;SI
27;MUJER;773348;2396;0;0;5;5;NO
27;MUJER;591822;2659;0;1;5;6;NO
27;HOMBRE;873833;2916;0;1;5;4;NO
24;MUJER;483498;3033;0;1;5;5;NO
27;HOMBRE;941066;3149;0;1;4;5;NO
29;MUJER;956599;3510;0;1;6;6;NO
23;HOMBRE;930294;3314;0;1;6;5;NO
26;HOMBRE;1012891;3129;0;1;6;4;NO
26;MUJER;794223;2772;0;1;5;5;NO
29;HOMBRE;912520;2740;0;1;5;5;SI
25;MUJER;604794;2275;0;1;5;4;NO
25;HOMBRE;905845;2830;0;1;5;6;SI
25;HOMBRE;864425;2946;0;0;6;4;NO
31;HOMBRE;908877;3247;0;1;5;4;NO
27;HOMBRE;934537;2789;0;1;7;5;NO
27;MUJER;882344;3279;0;0;5;6;NO
26;MUJER;674164;3439;0;1;6;5;NO
22;MUJER;813315;2736;0;1;6;5;SI
24;HOMBRE;724871;3557;0;1;6;6;NO
31;HOMBRE;919262;3115;0;1;5;6;NO
26;MUJER;648846;3004;0;1;6;5;SI
24;MUJER;956746;3131;0;1;6;5;SI
27;HOMBRE;1247830;3409;0;1;6;4;SI
22;MUJER;662137;3464;0;1;6;5;NO
25;HOMBRE;461469;3177;0;1;5;5;NO
28;HOMBRE;774955;3278;0;1;4;5;SI
27;HOMBRE;714274;2608;0;1;6;4;NO
27;MUJER;1096784;2506;0;1;6;5;NO
24;HOMBRE;844399;2661;0;1;5;5;NO
26;HOMBRE;922065;3490;0;1;5;6;NO
29;HOMBRE;441428;3008;0;0;6;5;NO
25;MUJER;641550;3475;0;1;6;6;SI
27;HOMBRE;708587;3416;0;0;6;5;NO
29;MUJER;601431;2933;0;1;6;4;NO
26;HOMBRE;1361503;2829;0;1;5;5;NO
27;HOMBRE;643699;2908;0;0;5;5;NO
27;HOMBRE;644700;3153;0;1;6;5;NO
27;HOMBRE;814621;3122;0;1;5;5;NO
23;MUJER;564532;2981;0;1;6;5;SI
25;HOMBRE;940908;2337;0;0;6;5;NO
24;HOMBRE;1036187;2721;0;1;5;6;NO
24;MUJER;794867;2902;0;1;5;5;NO
25;MUJER;1042702;3345;0;1;4;5;NO
22;MUJER;820811;2505;0;1;5;5;SI
26;HOMBRE;730833;2866;0;0;5;6;NO
26;HOMBRE;333649;3278;0;1;6;5;NO
25;MUJER;367389;2777;0;1;5;5;NO
27;HOMBRE;652003;3590;0;1;5;5;NO
23;HOMBRE;686005;3078;0;1;4;3;SI
24;MUJER;981698;3554;0;1;4;5;SI
26;HOMBRE;731793;2731;0;1;5;5;NO
26;MUJER;739018;2964;0;1;6;5;SI
25;MUJER;577517;3306;0;0;6;5;NO
24;MUJER;767425;2824;0;1;5;5;NO
27;HOMBRE;859945;2590;0;1;6;5;SI
25;HOMBRE;977799;3160;0;0;6;6;SI
25;MUJER;610242;2364;0;0;5;5;NO
24;MUJER;1115543;3438;0;1;6;4;NO
30;HOMBRE;915185;2988;0;0;6;5;SI
28;HOMBRE;1003606;2587;0;1;6;5;SI
24;MUJER;631284;2520;0;1;5;4;NO
28;HOMBRE;844640;3044;0;1;5;5;NO
27;HOMBRE;942037;3016;0;1;5;4;NO
28;MUJER;703720;3435;0;1;7;4;NO
26;MUJER;868112;3921;0;1;5;5;NO
28;MUJER;675708;2945;0;1;7;4;NO
27;HOMBRE;490822;3073;0;1;6;5;NO
26;MUJER;712721;2946;0;1;6;6;NO
28;HOMBRE;836994;3186;0;1;5;5;NO
27;MUJER;957127;3026;0;0;4;5;NO
23;MUJER;1005651;3418;0;1;6;4;NO
28;HOMBRE;804121;3699;0;0;5;5;NO
25;HOMBRE;977146;2842;0;1;5;4;SI
27;HOMBRE;873473;3012;0;1;5;6;NO
26;HOMBRE;669144;3581;0;1;5;4;NO
25;MUJER;867378;2801;0;0;5;6;NO
25;HOMBRE;863047;3076;0;0;5;5;NO
27;HOMBRE;749360;3174;0;1;6;5;NO
26;HOMBRE;880640;3519;0;1;7;5;NO
30;MUJER;933348;3018;0;1;6;6;NO
28;HOMBRE;711485;2920;0;1;7;6;NO
30;HOMBRE;1017968;2974;0;1;6;5;SI
25;MUJER;897908;3539;0;1;5;5;NO
25;HOMBRE;930354;2864;0;1;4;4;NO
26;MUJER;573219;2846;0;1;6;4;NO
25;MUJER;1191381;3006;0;1;5;5;NO
26;MUJER;662912;2696;0;1;5;5;SI
25;HOMBRE;926355;2661;0;1;6;5;NO
26;HOMBRE;784456;3028;0;1;5;6;NO
27;HOMBRE;732395;2630;0;1;5;3;NO
29;HOMBRE;448982;3127;0;1;7;5;NO
28;MUJER;1073973;3198;0;1;6;4;NO
24;HOMBRE;629859;3229;0;1;6;5;SI
26;MUJER;569194;2494;0;1;6;5;NO
29;HOMBRE;1065097;2822;0;1;7;5;SI
24;MUJER;900309;3202;0;1;5;5;NO
27;MUJER;1161083;2957;0;1;5;4;NO
26;MUJER;828416;2717;0;1;6;5;NO
27;HOMBRE;833078;2637;0;1;6;7;NO
25;HOMBRE;729050;3397;0;0;5;6;SI
26;HOMBRE;934759;3033;0;1;5;3;NO
29;HOMBRE;871347;3276;0;1;6;6;NO
27;HOMBRE;836169;3309;0;1;5;5;SI
27;HOMBRE;524380;3574;0;1;5;5;NO
25;HOMBRE;581889;2738;0;1;5;5;NO
26;HOMBRE;712857;3499;0;1;6;5;NO
28;MUJER;456703;3101;0;1;4;5;NO
29;HOMBRE;412693;2886;0;1;4;4;NO
29;MUJER;911484;3285;0;0;5;4;NO
26;MUJER;685966;3908;0;1;6;4;NO
25;HOMBRE;850697;3407;0;1;6;5;NO
28;MUJER;902272;3122;0;0;6;6;SI
27;HOMBRE;761604;2736;0;1;6;5;NO
28;HOMBRE;332208;2962;0;1;4;4;NO
25;MUJER;1060689;3772;0;1;6;4;NO
23;HOMBRE;747560;3648;0;1;6;5;NO
29;HOMBRE;997033;3131;0;1;6;4;NO
24;HOMBRE;457116;3408;0;1;6;5;NO
24;HOMBRE;1041577;2830;0;1;5;6;NO
26;MUJER;884000;3212;0;1;5;5;NO
24;HOMBRE;793478;3031;0;0;5;4;NO
29;HOMBRE;791466;3161;0;1;5;5;NO
25;HOMBRE;724789;3086;0;0;6;6;NO
26;MUJER;517142;2978;0;1;5;3;NO
29;HOMBRE;811714;3209;0;0;6;7;NO
29;MUJER;906650;2817;0;1;5;5;NO
28;MUJER;497323;3283;0;1;5;5;NO
28;HOMBRE;615987;2951;0;1;7;5;NO
30;HOMBRE;779914;2279;0;0;6;6;NO
23;MUJER;659881;3848;0;0;6;4;NO
28;MUJER;746959;2960;0;1;6;4;NO
24;HOMBRE;730605;3787;0;1;7;5;SI
25;HOMBRE;1343740;3921;0;1;6;6;NO
24;HOMBRE;740512;3378;0;1;4;5;NO
24;HOMBRE;662372;2854;0;1;6;5;NO
25;HOMBRE;759209;3420;0;1;6;6;NO
24;MUJER;660698;3017;0;1;5;5;SI
40;HOMBRE;1599658;9327;1;1;5;3;NO
47;HOMBRE;1475006;7552;0;1;6;4;SI
45;HOMBRE;1669718;8674;1;1;5;5;NO
43;HOMBRE;1422983;8431;3;1;5;5;NO
45;HOMBRE;1575352;8709;2;1;6;5;SI
43;HOMBRE;1720060;10375;2;1;5;5;NO
44;HOMBRE;1877552;8735;2;1;5;6;SI
46;HOMBRE;1709695;7937;2;1;5;5;NO
45;MUJER;1787658;8423;1;1;5;4;NO
43;MUJER;1455321;9981;0;1;4;5;NO
38;HOMBRE;1556208;10062;0;1;7;4;NO
46;HOMBRE;1736615;8222;0;1;4;3;NO
40;MUJER;1532108;7520;0;1;5;4;SI
49;HOMBRE;1736316;9718;1;1;5;4;SI
52;HOMBRE;1666363;7774;1;1;6;5;SI
46;HOMBRE;1593590;8587;1;1;4;5;NO
40;HOMBRE;1755327;9172;1;1;7;4;NO
47;HOMBRE;1573753;9517;4;1;7;5;SI
44;HOMBRE;1742873;7602;2;1;5;5;NO
49;HOMBRE;1572908;7278;1;1;5;3;NO
39;MUJER;1604824;8744;3;1;5;4;SI
42;HOMBRE;1644521;8756;0;1;5;6;SI
40;HOMBRE;1785492;6957;0;1;6;5;NO
44;HOMBRE;1453057;9185;1;1;5;3;NO
49;HOMBRE;1706526;8056;3;1;6;4;NO
42;HOMBRE;1381097;9795;2;1;6;3;NO
44;MUJER;1755933;7925;0;1;6;4;NO
43;HOMBRE;1599058;8371;0;1;4;3;NO
42;MUJER;1510747;6975;0;1;4;4;SI
45;HOMBRE;1412646;8964;0;1;5;4;SI
45;HOMBRE;1507501;7677;2;1;5;4;NO
39;HOMBRE;1738014;8259;3;1;5;5;NO
42;MUJER;1653042;8841;1;1;6;5;NO
42;HOMBRE;1699564;8482;1;1;5;5;SI
36;HOMBRE;1610518;9486;2;1;5;4;NO
47;HOMBRE;1759799;7661;1;1;6;4;SI
36;MUJER;1692218;9631;1;1;6;4;NO
42;HOMBRE;1683841;10231;0;1;6;4;NO
48;HOMBRE;1648312;7496;0;1;5;3;NO
38;HOMBRE;1753652;9090;3;1;6;4;NO
42;MUJER;1651991;8431;1;1;6;4;NO
41;HOMBRE;1504728;7734;1;1;6;5;SI
47;HOMBRE;1416486;9098;1;1;5;4;NO
34;HOMBRE;1450405;7924;3;1;5;3;NO
42;HOMBRE;1738745;9566;0;1;6;3;SI
41;HOMBRE;1533689;6365;3;1;6;4;NO
46;MUJER;1902031;8169;0;1;4;4;SI
48;HOMBRE;1675206;9922;0;1;6;4;NO
47;HOMBRE;1714641;9135;1;1;6;4;NO
40;HOMBRE;1645902;7974;1;1;6;5;NO
